產品編號,產品名稱,是否為國外產品,價格,活動類型,地點／景點,標籤
24SVO29VJT2-ZP,北越｜陸龍灣小舟.下龍灣豪華日遊船.河內36古街.世界最大三竹寺.威尼斯童話大世界6日｜送網卡(含稅簽),True,23900.0,"文化歷史, 豪華","36古街, 威尼斯, 尼斯","36古街, 威尼斯, 尼斯, 文化歷史, 豪華"
237053,臺東-藍皮解憂號觀光列車| 臺東-枋寮單趟超值版(10/1-4/30),False,99.0,火車旅遊,臺東,"火車旅遊, 臺東"
25SS125BRP-T,早鳥6折起|ClubMed民丹島精緻全包式假期五日,True,62900.0,海島旅遊,,", 海島旅遊"
24TRO04FU1-T,|鳴日廚房|山與海的邂逅.明星主廚帶路.農遊體驗|花蓮1日(南港出發/高腳椅區),False,21800.0,自然景觀,花蓮,"自然景觀, 花蓮"
25JH210CI-T,特選冬季北海道｜雪盆戲雪.白色燈樹節.函館夜景.洞爺湖.海洋公園.企鵝遊行.小樽漫遊.溫泉美食五日,True,46900.0,"夜間活動, 海島旅遊, 溫泉之旅, 美食, 自然景觀, 雪景","函館, 北海道, 夜景, 小樽, 海洋公園","函館, 北海道, 夜景, 夜間活動, 小樽, 海島旅遊, 海洋公園, 溫泉之旅, 美食, 自然景觀, 雪景"
24TMO29PUM-K,台中旅遊｜【大人囝仔】高美濕地生態之美.美食大探索～大甲鎮瀾宮.日式老宅～梧棲文化出張所1日｜高雄台南出發,False,599.0,"文化歷史, 美食","台中, 高美, 高美濕地, 高雄","台中, 文化歷史, 美食, 高美, 高美濕地, 高雄"
24TNN30MIS-T,大東北角｜新北旅遊｜芒草季.南子吝步道360度山海美景.尋訪三貂嶺秘境聚落.平溪線鐵道旅行1日,False,499.0,"火車旅遊, 自然景觀","平溪, 新北","平溪, 新北, 火車旅遊, 自然景觀"
24TEO0288D-X,台東旅遊｜最高折3百｜五星級市場新開幕.微型阿塱壹.藍皮解憂號.熱氣球飯店二日｜台中出發,False,2999.0,"豪華, 購物",台中,"台中, 豪華, 購物"
24TM918JUN-K,台中旅遊｜【大人囝仔】世界馳名~高美濕地.三井OUTLET吃透透.古法紙捲面體驗1日｜高雄出發,False,899.0,其他,"台中, 高美, 高美濕地, 高雄","其他, 台中, 高美, 高美濕地, 高雄"
24TE91188D-X,台東旅遊｜最高折3百｜五星級市場新開幕.微型阿塱壹.藍皮解憂號.熱氣球飯店二日｜台中出發,False,2999.0,"豪華, 購物",台中,"台中, 豪華, 購物"
24TMO05PAR-T,台中旅遊│搭乘紙火車環遊世界．探索新奇的紙的王國．神奇紙火鍋．認識菇菇生態.摘採當季水果一日｜大人囝仔,False,1499.0,火車旅遊,台中,"台中, 火車旅遊"
24JO909-GX,客製｜沖繩青洞浮潛、TEAMLAB未來園、古宇利大橋、美麗海水族館、貓島迷你小團五日【專屬包車】※不含機票,True,25800.0,"海島旅遊, 親子旅遊","古宇利大橋, 沖繩, 美麗海水族館","古宇利大橋, 沖繩, 海島旅遊, 美麗海水族館, 親子旅遊"
24TMO23JUN-K,台中旅遊｜【大人囝仔】世界馳名~高美濕地.三井OUTLET吃透透.古法紙捲面體驗1日｜高雄出發,False,899.0,其他,"台中, 高美, 高美濕地, 高雄","其他, 台中, 高美, 高美濕地, 高雄"
24TMO19PAR-T,台中旅遊│搭乘紙火車環遊世界．探索新奇的紙的王國．神奇紙火鍋．認識菇菇生態.摘採當季水果一日｜大人囝仔,False,1499.0,火車旅遊,台中,"台中, 火車旅遊"
24SM917BRH-T,馬新旅遊｜黑風洞.大紅花海上VILLA.黃昏夕陽愛之船.濱海灣金沙.海角人美食5日(升等2晚五星),True,21999.0,"美食, 豪華",黑風洞,"美食, 豪華, 黑風洞"
24SMO11BRH-T,馬新旅遊｜黑風洞.大紅花海上VILLA.黃昏夕陽愛之船.濱海灣金沙.海角人美食5日(升等2晚五星),True,21999.0,"美食, 豪華",黑風洞,"美食, 豪華, 黑風洞"
24SVO16JX5-T,越南旅遊|【峴港五星5日】巴拿山纜車佛手橋.迦南島竹桶船.會安燈籠古鎮.美山聖地.無購物(含簽證),True,34900.0,"海島旅遊, 自然景觀, 豪華, 購物",,", 海島旅遊, 自然景觀, 豪華, 購物"
24JHD02CIC-T,好食在北海道旅遊｜冬季星野渡假村.水教堂.A５和牛料理.三大螃蟹啤酒喝到飽在地美食五日,True,50900.0,"文化歷史, 美食, 豪華",北海道,"北海道, 文化歷史, 美食, 豪華"
231006025,高鐵假期｜高雄首福大飯店＆高鐵來回車票｜飯店0元起,False,0.0,其他,高雄,"其他, 高雄"
24JXO16JXD-T,省最大~日本大阪旅遊│京阪神奈～奈良東大寺.梅花鹿公園.嵐山渡月橋.北野異人館街.黑門市場.日本環球影城五日,True,36900.0,"主題樂園, 文化歷史, 自然景觀, 購物","北野, 北野異人館, 大阪, 奈良, 嵐山, 東大寺, 環球影城, 黑門市場","主題樂園, 北野, 北野異人館, 大阪, 奈良, 嵐山, 文化歷史, 東大寺, 環球影城, 自然景觀, 購物, 黑門市場"
24TEN28SFD-T,宜蘭旅遊│草嶺古道賞秋芒．大溪漁港啖海鮮．湯圍溝泡腳．外澳沙灘一日│大人囝仔,False,599.0,美食,宜蘭,"宜蘭, 美食"
24SE923BRC-T,新馬旅遊｜濱海灣金沙娛樂城.大紅花海上VILLA.雲頂高原.馬六甲世界文化遺產巡禮5日,True,23900.0,文化歷史,馬六甲,"文化歷史, 馬六甲"
25JH209CIA-T,冬季北海道｜破冰船.冰釣公魚.丹頂鶴.旭山動物園.熱氣球.冰上活動.三大螃蟹美人湯五日｜保住三晚溫泉,True,55900.0,"溫泉之旅, 美食, 自然景觀, 親子旅遊, 雪景","北海道, 旭山動物園","北海道, 旭山動物園, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 雪景"
24TEN25SFD-T,宜蘭旅遊│草嶺古道賞秋芒．大溪漁港啖海鮮．湯圍溝泡腳．外澳沙灘一日│大人囝仔,False,599.0,美食,宜蘭,"宜蘭, 美食"
24TM924ICB-T,南投旅遊｜惠蓀林場夏日避暑～享受森林浴.雲的故鄉.武界尋奇.國姓糯米橋.咖啡手沖爆米香體驗.蒸宴料理二日,False,5200.0,"美食, 自然景觀",,", 美食, 自然景觀"
TWTPEN04,台北福華大飯店,,0.0,其他,台北,"其他, 台北"
24JXO24JXD-T,省最大~日本大阪旅遊│京阪神奈～奈良東大寺.梅花鹿公園.嵐山渡月橋.北野異人館街.黑門市場.日本環球影城五日,True,36900.0,"主題樂園, 文化歷史, 自然景觀, 購物","北野, 北野異人館, 大阪, 奈良, 嵐山, 東大寺, 環球影城, 黑門市場","主題樂園, 北野, 北野異人館, 大阪, 奈良, 嵐山, 文化歷史, 東大寺, 環球影城, 自然景觀, 購物, 黑門市場"
24TED05ZAO-T,宜蘭旅遊|拱北殿賞楓紅．羅東落羽松祕境．採金棗．特色金棗餐1日|大人囝仔,False,999.0,自然景觀,宜蘭,"宜蘭, 自然景觀"
24TE918H01-T,花蓮補助│撒固兒步道.將軍府1936.七星潭曼波園區.大農大富.馬太鞍濕地.鯉魚潭火車二日,False,3999.0,火車旅遊,"七星潭, 花蓮, 鯉魚潭","七星潭, 火車旅遊, 花蓮, 鯉魚潭"
25JH121TRC-ZP,北海道旅遊｜冬季破冰船.丹頂鶴.旭山動物園.浪漫小樽.三大螃蟹美人湯六日｜四晚溫泉,True,58888.0,"婚禮蜜月, 溫泉之旅, 美食, 自然景觀, 親子旅遊","北海道, 小樽, 旭山動物園","北海道, 婚禮蜜月, 小樽, 旭山動物園, 溫泉之旅, 美食, 自然景觀, 親子旅遊"
25eu321br-t,預購3000｜經典德瑞｜少女峰．馬特宏峰．冰河列車．黃金路線列車．新天鵝堡．國王湖10日,True,119900.0,"火車旅遊, 自然景觀","國王湖, 天鵝堡, 少女峰, 德瑞, 馬特宏峰","國王湖, 天鵝堡, 少女峰, 德瑞, 火車旅遊, 自然景觀, 馬特宏峰"
24TN923WHE-T,新竹旅遊｜觸動你的嗅覺與味覺.香甜車輪餅DIY.視覺的衝擊.黃澄澄柿餅海一日｜大人囝仔,False,1199.0,其他,新竹,"其他, 新竹"
25JT119CIE-T,"迎春折2,000｜東京迪士尼.奇幻動漫樂園.採果樂.箱根海盜船.新宿購物.富士山美景溫泉五日",True,48900.0,"主題樂園, 溫泉之旅, 自然景觀, 購物","富士, 新宿, 東京, 箱根, 箱根海盜船","主題樂園, 富士, 新宿, 東京, 溫泉之旅, 箱根, 箱根海盜船, 自然景觀, 購物"
24JKO09BRK-K,首爾好遊｜四晚市區飯店．景福宮韓服體驗．祕訪青瓦臺．人工浮島夜景．東大門明洞好好逛．韓食好好味(一站購物彩妝)五日｜高雄,True,27900.0,"夜間活動, 海島旅遊, 購物","夜景, 明洞, 景福宮, 東大門, 首爾, 高雄","夜景, 夜間活動, 明洞, 景福宮, 東大門, 海島旅遊, 購物, 首爾, 高雄"
24EED15BRA-T,"最省奧捷旅遊｜哈修塔特真善美景點,薩爾茲堡,布拉格城堡,庫倫諾夫,伏爾塔瓦河遊船百匯,布拉格連泊10日",True,74900.0,文化歷史,"哈修塔特, 奧捷, 布拉格","哈修塔特, 奧捷, 布拉格, 文化歷史"
TWTPEN49,大板根森林溫泉酒店THE GREAT ROOTS FORESTRY SPA RESORT,False,0.0,"溫泉之旅, 自然景觀",,", 溫泉之旅, 自然景觀"
24AB927JXP-T,美麗星世界～星宇美西三城、兩大國家公園、羚羊峽谷秘境、瘋玩環球影城、惡魔島遊船10日,True,96900.0,"主題樂園, 海島旅遊","惡魔島, 環球影城","主題樂園, 惡魔島, 海島旅遊, 環球影城"
25JT124JXE-T,"迎春折2,000｜東京迪士尼.奇幻動漫樂園.採果樂.箱根海盜船.新宿購物.富士山美景溫泉五日",True,49900.0,"主題樂園, 溫泉之旅, 自然景觀, 購物","富士, 新宿, 東京, 箱根, 箱根海盜船","主題樂園, 富士, 新宿, 東京, 溫泉之旅, 箱根, 箱根海盜船, 自然景觀, 購物"
24JK913CIK-K,首爾好遊｜四晚市區飯店．景福宮韓服體驗．祕訪青瓦臺．人工浮島夜景．東大門明洞好好逛．韓食好好味(一站購物彩妝)五日｜高雄,True,26900.0,"夜間活動, 海島旅遊, 購物","夜景, 明洞, 景福宮, 東大門, 首爾, 高雄","夜景, 夜間活動, 明洞, 景福宮, 東大門, 海島旅遊, 購物, 首爾, 高雄"
24SVO15VJ3-ZP,中越峴港｜會安古鎮.巴拿山纜車.黃金佛手橋.粉紅大教堂.迦南島5日｜(含稅簽),True,17999.0,"文化歷史, 海島旅遊, 自然景觀",,", 文化歷史, 海島旅遊, 自然景觀"
24JHO07JXA-T,每月一物北海道旅遊｜紅葉絕景.函館纜車.企鵝遊行.小樽漫遊.螃蟹溫泉函函五日｜搭乘星宇航空,True,41900.0,"溫泉之旅, 美食, 自然景觀","函館, 北海道, 小樽","函館, 北海道, 小樽, 溫泉之旅, 美食, 自然景觀"
25JT122JXE-T,"迎春折2,000｜東京迪士尼.奇幻動漫樂園.採果樂.箱根海盜船.新宿購物.富士山美景溫泉五日",True,49900.0,"主題樂園, 溫泉之旅, 自然景觀, 購物","富士, 新宿, 東京, 箱根, 箱根海盜船","主題樂園, 富士, 新宿, 東京, 溫泉之旅, 箱根, 箱根海盜船, 自然景觀, 購物"
24TS918GAI-K,嘉義旅遊｜【大人囝仔】全新落成!歐風蓋婭莊園.日式建築群.東市場美食.金桔農場~贈點心一日｜高雄台南出發,False,899.0,"美食, 購物","嘉義, 高雄","嘉義, 美食, 購物, 高雄"
00309266,群策翡翠灣溫泉飯店CT GREEN BAY HOT SPRING HOTEL,True,8376.0,"溫泉之旅, 自然景觀",,", 溫泉之旅, 自然景觀"
24TN906STE-T,第二人6折｜新北旅遊｜三峽百年山中茶園手作綠豆糕.滿月圓遊樂區森呼吸.白雞行修宮1日｜亮點茶莊,False,1300.0,自然景觀,新北,"新北, 自然景觀"
24JPO10CI-T,直飛富山|立山黑部追楓企劃|五星之宿金太郎.黑部峽谷鐵道.合掌村.兼六園.松本城.送金箔冰.雙溫泉五日|名古屋萬怡,True,48888.0,"溫泉之旅, 火車旅遊, 自然景觀, 豪華",,", 溫泉之旅, 火車旅遊, 自然景觀, 豪華"
25JH205ITA-ZP,"寒假折2,000｜迎春冬季北海道洞爺燈節.企鵝遊行.函館夜景.冰釣公魚.北極星列車.升等螃蟹和牛吃到飽五日｜三晚溫泉",True,49888.0,"夜間活動, 溫泉之旅, 火車旅遊, 美食, 自然景觀","函館, 北海道, 夜景","函館, 北海道, 夜景, 夜間活動, 溫泉之旅, 火車旅遊, 美食, 自然景觀"
24ABO26BRY-T,"最高折5,000》西雅圖白馬洛磯│白馬極光~極地溫泉、城堡飯店、硫磺山纜車、Outlet、派克市場12日",True,159900.0,"文化歷史, 溫泉之旅, 自然景觀, 購物, 雪景",,", 文化歷史, 溫泉之旅, 自然景觀, 購物, 雪景"
BR857:LX139:LX1342:LX1343:LX188:CA195:,桃園機場 - 華沙機場 來回,True,32878.0,其他,桃園,"其他, 桃園"
24EUO23CXK-T,荷比法三遊船｜童話羊角村．風車村．布魯日老城．香檳酒區．羅浮宮．OUTLET購物．時尚巴黎9日｜高雄來回,True,74900.0,購物,"巴黎, 布魯日, 羅浮宮, 羊角村, 風車村, 高雄","巴黎, 布魯日, 羅浮宮, 羊角村, 購物, 風車村, 高雄"
24JPO18CI-T,直飛富山|立山黑部追楓企劃|五星之宿金太郎.黑部峽谷鐵道.合掌村.兼六園.松本城.送金箔冰.雙溫泉五日|名古屋萬怡,True,48888.0,"溫泉之旅, 火車旅遊, 自然景觀, 豪華",,", 溫泉之旅, 火車旅遊, 自然景觀, 豪華"
24JHO27JX-T,北海道旅遊｜紅葉絕景.定山溪自然彩燈節.洞爺湖花火船.豐平峽水壩.企鵝遊行.小樽漫遊.螃蟹溫泉五日,True,49900.0,"溫泉之旅, 美食, 自然景觀","北海道, 小樽","北海道, 小樽, 溫泉之旅, 美食, 自然景觀"
24SVO17VJ06-ZP,中越峴港｜會安古鎮.巴拿山纜車.迦南島.順化皇帝宴.韓江遊船.海景下午茶.龍蝦海鮮美食饗宴6日｜無購物.送簽證,True,33900.0,"海島旅遊, 美食, 自然景觀, 購物",,", 海島旅遊, 美食, 自然景觀, 購物"
24ARO10BRA-T,旗艦美加東賞楓│長榮雙點進出、魁北克古城飯店、川普朗渡假村、尼加拉面瀑房、三遊船纜車、賞楓列車、景觀餐廳、龍蝦餐12日,True,196900.0,"文化歷史, 火車旅遊, 美食, 自然景觀, 豪華",,", 文化歷史, 火車旅遊, 美食, 自然景觀, 豪華"
24TE907YOU-FH,花蓮季節限定│瑞穗文旦採柚趣.舞鶴蜜香紅茶.馬太鞍濕地.童話星巴克一日│大人囝仔,False,1750.0,其他,花蓮,"其他, 花蓮"
24JHO02BRB-T,【旅展預購折2千】北海道旅遊｜紅葉絕景.富良野纜車.森林精靈露台.然別湖秘境.美瑛青池楓紅.螃蟹溫泉五日,True,46900.0,"溫泉之旅, 美食, 自然景觀","北海道, 美瑛青池","北海道, 溫泉之旅, 美瑛青池, 美食, 自然景觀"
25JF118BRA-T,"【寒假折2,000】|九州黑川竹燈祭.冬季採草莓.九重雪盆戲雪.三大蟹鍋物吃到飽.雙溫泉五日",True,42900.0,"溫泉之旅, 自然景觀, 雪景",,", 溫泉之旅, 自然景觀, 雪景"
24TS913SSL-T,高雄旅遊｜限量一口價3999｜義大天悅~摩天輪~義大遊樂世界.美濃客家美食~紙傘彩繪.旗山糖廠二日｜大人囝仔,False,3999.0,"美食, 自然景觀","義大, 高雄","美食, 義大, 自然景觀, 高雄"
24EUO03CX8-T,荷比法三遊船｜童話羊角村．風車村．布魯日老城．香檳酒區．羅浮宮．OUTLET購物．時尚巴黎9日｜高雄來回,True,79900.0,購物,"巴黎, 布魯日, 羅浮宮, 羊角村, 風車村, 高雄","巴黎, 布魯日, 羅浮宮, 羊角村, 購物, 風車村, 高雄"
24JPO16CIC-T,立山黑部奇景|日本三大名湯～下呂溫泉『水明館』.合掌村.兼六園.東茶屋街.名古屋城.雙溫泉五日|名古屋早早,True,47900.0,"溫泉之旅, 自然景觀",,", 溫泉之旅, 自然景觀"
24JHO20BRB-T,限量搶北海道旅遊｜紅葉絕景.洞爺湖花火.富良野美瑛青池.企鵝遊行.小樽運河.三大蟹溫泉五日,True,42900.0,"溫泉之旅, 自然景觀","北海道, 小樽, 小樽運河, 美瑛青池","北海道, 小樽, 小樽運河, 溫泉之旅, 美瑛青池, 自然景觀"
24JHO18BR-T,北海道旅遊｜紅葉絕景.美瑛青池.層雲峽黑岳纜車.旭山動物園.小樽遊船.三大螃蟹五日｜保住三晚溫泉,True,48900.0,"溫泉之旅, 美食, 自然景觀, 親子旅遊","北海道, 小樽, 旭山動物園, 美瑛青池","北海道, 小樽, 旭山動物園, 溫泉之旅, 美瑛青池, 美食, 自然景觀, 親子旅遊"
24XID04MHZP-ZP,印度旅遊7日│德里．捷普．阿格拉．泰姬瑪哈陵．艾芭奈麗．瑜珈體驗,True,45900.0,其他,"印度, 德里, 捷普, 泰姬瑪哈, 瑜珈, 阿格拉","其他, 印度, 德里, 捷普, 泰姬瑪哈, 瑜珈, 阿格拉"
24XIO10CXIE-ZP,印度旅遊7日│德里．捷普．阿格拉．泰姬瑪哈陵．艾芭奈麗．瑜珈體驗,True,39900.0,其他,"印度, 德里, 捷普, 泰姬瑪哈, 瑜珈, 阿格拉","其他, 印度, 德里, 捷普, 泰姬瑪哈, 瑜珈, 阿格拉"
25JH219JXH-T,冬季北海道旅遊｜破冰船.雪上活動.函館夜景.銀河流星瀑布.旭山北極熊.熊牧場.三大螃蟹溫泉六日｜保住三晚溫泉,True,58900.0,"夜間活動, 溫泉之旅, 美食, 自然景觀","函館, 北海道, 夜景, 熊牧場","函館, 北海道, 夜景, 夜間活動, 溫泉之旅, 熊牧場, 美食, 自然景觀"
24SVO22VJ2-ZP,尊爵五星中越峴港｜會安古鎮.巴拿山夢想樂園.黃金佛手橋.龍蝦海鮮美饌.酒店BUFFET饗宴.無購物五日｜送網卡(含稅簽),True,29999.0,"主題樂園, 美食, 自然景觀, 豪華, 購物",,", 主題樂園, 美食, 自然景觀, 豪華, 購物"
25JF121CIA-T,"【寒假折2,000】|九州黑川竹燈祭.冬季採草莓.九重雪盆戲雪.三大蟹鍋物吃到飽.雙溫泉五日",True,41900.0,"溫泉之旅, 自然景觀, 雪景",,", 溫泉之旅, 自然景觀, 雪景"
24TN911KUL-T,第二人6折｜基隆旅遊｜贈人氣芋泥球！最新地標基隆塔.太平青鳥書店.老鷹岩步道.仁愛市場大啖美食1日｜大人囝仔,False,600.0,"美食, 購物","基隆, 第二人6折｜基隆旅遊｜贈人氣芋泥球！最新地標基隆塔.太平青鳥書店.老鷹岩步道.仁愛市場大啖美食1日｜大人囝仔","基隆, 第二人6折｜基隆旅遊｜贈人氣芋泥球！最新地標基隆塔.太平青鳥書店.老鷹岩步道.仁愛市場大啖美食1日｜大人囝仔, 美食, 購物"
24JO911BR-T,升級版＊A級渡假飯店一晚＊沖繩古宇利～跨海大橋登上古宇利．登上展望塔．琉球文化．悠閒美國村．暢遊海博館陽光四日,True,27300.0,"文化歷史, 豪華","沖繩, 跨海大橋","文化歷史, 沖繩, 豪華, 跨海大橋"
24JHO12BRB-T,【旅展預購折2千】北海道旅遊｜紅葉絕景.富良野纜車.森林精靈露台.然別湖秘境.美瑛青池楓紅.螃蟹溫泉五日,True,46900.0,"溫泉之旅, 美食, 自然景觀","北海道, 美瑛青池","北海道, 溫泉之旅, 美瑛青池, 美食, 自然景觀"
25JP122BRA-T,"寒假折2,000｜冬季北陸~名古屋樂高樂園.水族館.恐龍博物館.合掌村.兼六園.戲雪.甜蝦溫泉美食五日｜保住名古屋萬怡",True,46900.0,"主題樂園, 文化歷史, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 雪景",,", 主題樂園, 文化歷史, 溫泉之旅, 美食, 自然景觀, 親子旅遊, 雪景"
24TN913YSY-T,桃園旅遊｜【雙老街巡禮】富岡鐵道藝術生活節.愛情車站.內灣小火車體驗一日｜大人囝仔,False,599.0,"火車旅遊, 藝文體驗","內灣, 桃園","內灣, 桃園, 火車旅遊, 藝文體驗"
24TN912SALI-T,經典西部環島｜日月潭遊湖x阿里山森林·喝喝茶·安平古都小吃饗宴·高鐵回程3日｜,False,14500.0,"海島旅遊, 美食, 自然景觀","日月潭, 阿里山","日月潭, 海島旅遊, 美食, 自然景觀, 阿里山"
